Ticket created - Month,Ticket ID,Touch tickets,service_tags_json
August,228880,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""positive"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[""helpfulness"",""clarity"",""responsiveness"",""professionalism"",""empathy""],""service_negative"":[],""interaction"":[""reactive_support"",""clear_resolution"",""empathy_displayed""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up"",""sentiment_shift_positive""],""reasoning"":""User queried rejected bank statements for an address check; agent identified a postcode mismatch, advised correction, and later confirmed the check completed and closed the case."",""conversation_summary"":""User's two bank statements were rejected for an address check. After asking for human help, agent Callum identified that the postcode on the form didn't match the document, informed the user, and after the user corrected it the agent confirmed the address check was completed and marked the case solved.""}"
August,228881,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""reactive_support"",""unclear_resolution""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""User reported repeated ID check rejections; agent explained the provider couldn't verify the document due to US sanctions, provided two options and resubmission guidelines."",""conversation_summary"":""User asked why their ID submissions kept being rejected. Agent replied that the verification provider could not authenticate the document due to US sanctions restrictions, gave two options (submit a different country's ID or ask the recruiter to manually verify), and listed document photo requirements. Next steps require the user to resubmit or contact their recruiter.""}"
August,228903,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""positive"",""segment"":""unknown"",""industry"":""health_medical_and_care"",""service_positive"":[""helpfulness"",""empathy"",""responsiveness""],""service_negative"":[],""interaction"":[""reactive_support"",""empathy_displayed"",""clear_resolution""],""tone"":[""empathetic""],""conversation_dynamics"":[""follow_up"",""sentiment_shift_positive""],""reasoning"":""User reported an incorrect password for a health form; agent asked for details, user fixed the entry, agent confirmed resolution and offered further help."",""conversation_summary"":""The user said the password for the health and wellbeing form was incorrect. The agent asked for clarification and offered help. The user then said they had entered it wrong and resolved it; the agent confirmed everything was sorted and offered further assistance.""}"
August,228913,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""positive"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[""responsiveness"",""professionalism"",""clarity""],""service_negative"":[],""interaction"":[""proactive_outreach"",""clear_resolution""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up"",""sentiment_shift_positive""],""reasoning"":""User sent an employment letter via DocuSign for review; agent confirmed receipt of the reference and offered further assistance."",""conversation_summary"":""A sender emailed an employment letter via DocuSign requesting review. The team acknowledged receipt of the reference, thanked the sender for the prompt response, and offered further help. The matter is confirmed received with no outstanding actions unless the sender requests changes.""}"
August,228914,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""reactive_support"",""unclear_resolution""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""User asked for a consent form; agent later confirmed receipt of the reference but did not send the consent form."",""conversation_summary"":""People Operations asked for the consent form. Zinc support later replied confirming they successfully received the reference and offered further assistance. The conversation confirms receipt but does not show the consent form being sent, so the original request's completion is unclear.""}"
August,228922,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""reactive_support"",""clear_resolution"",""empathy_displayed""],""tone"":[""empathetic""],""conversation_dynamics"":[""follow_up""],""reasoning"":""User needed an urgent reply about a criminal record check email; agent confirmed correct address, received the resent message, forwarded to legal and logged the original email issue."",""conversation_summary"":""User reported an urgent unanswered support email about criminal record checks. The bot noted offline status; when an agent joined they asked for details, confirmed the correct email, verified receipt of the resent message, forwarded it to the legal team, and logged the original email failure. User was told a response would follow.""}"
August,228923,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""positive"",""segment"":""unknown"",""industry"":""health_medical_and_care"",""service_positive"":[""responsiveness"",""helpfulness"",""professionalism"",""clarity"",""empathy""],""service_negative"":[],""interaction"":[""reactive_support"",""clear_resolution"",""empathy_displayed""],""tone"":[""formal""],""conversation_dynamics"":[""sentiment_shift_positive""],""reasoning"":""User reported a DBS check showing 'blocked'; agent confirmed checks are complete, closed the ticket, and invited further replies if unresolved."",""conversation_summary"":""User asked for help because their DBS/background check was marked 'blocked' though they reported no offences. Agent confirmed the Zinc background checks are complete, closed the ticket, and told the user to respond if they still have issues.""}"
August,228927,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""positive"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[""helpfulness"",""professionalism""],""service_negative"":[],""interaction"":[""clear_resolution"",""reactive_support""],""tone"":[""formal""],""conversation_dynamics"":[""sentiment_shift_positive""],""reasoning"":""User sent a reference letter and noted disclosure limits; agent confirmed receipt and that everything looked in order."",""conversation_summary"":""An HR contact emailed a reference letter and stated they could not provide further details. The agent acknowledged receipt, confirmed the reference was fine, and offered further help; the matter is reported as resolved.""}"
August,228930,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""positive"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[""responsiveness"",""professionalism"",""clarity""],""service_negative"":[],""interaction"":[""reactive_support"",""clear_resolution"",""empathy_displayed""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""User reported a broken DBS application link; agent confirmed background checks complete and closed the ticket, asking to reopen if unresolved."",""conversation_summary"":""User (David) reported a nonworking DBS application link. Agent (Demi) replied that Zinc background checks are complete, closed the ticket, thanked him for his patience, and asked him to respond if the issue persists. Status: resolved from agent side; user may follow up if needed.""}"
August,228933,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""positive"",""segment"":""unknown"",""industry"":""health_medical_and_care"",""service_positive"":[""responsiveness"",""professionalism""],""service_negative"":[],""interaction"":[""proactive_outreach"",""clear_resolution"",""empathy_displayed"",""reactive_support""],""tone"":[""engaging""],""conversation_dynamics"":[""follow_up"",""sentiment_shift_positive""],""reasoning"":""User forwarded the reference request to HR; agent proactively notified that the candidate cancelled the request so no further action is needed."",""conversation_summary"":""Jeanette explained she couldn’t complete a regulatory reference and forwarded it to HR, offering to chase if no response. The agent followed up to say the candidate cancelled the request, thanked her for her help, and confirmed no further action was required.""}"
